census_tract,ct_population,ct_prct_white,ct_prct_black,ct_prct_asian,ct_prct_hispanic,ct_prct_age_5_9,ct_prct_age_10_14,ct_prct_age_15_19,ct_prct_age_20_24,ct_prct_age_25_34,ct_prct_age_35_44,ct_prct_age_45_54,ct_prct_age_55_59,ct_prct_age_60_64,ct_prct_age_65_74,ct_prct_age_75_84,ct_prct_age_85_plus,ct_median_inc,ct_prct_inc_less_than_10,ct_prct_inc_10_15,ct_prct_inc_15_25,ct_prct_inc_25_35,ct_prct_inc_35_50,ct_prct_inc_50_75,ct_prct_inc_75_100,ct_prct_inc_100_150,ct_prct_inc_150_200,ct_prct_inc_200_plus,ct_prct_less_than_9th,ct_prct_9th_12th,ct_prct_high_school,ct_prct_some_college,ct_prct_associates,ct_prct_bachelors,ct_prct_grad,ct_prct_high_school_plus,ct_prct_bachelors_plus,ct_prct_occupied,ct_prct_vacant,ct_prct_home_owner_vacancy,ct_prct_renter_vacancy,ct_prct_home_owner_occupied,ct_prct_renter_occupied
51099040400,5343,0.735354669661239,0.20980722440576455,0.013101253977166386,0.05577390978850833,0.07243121841661988,0.08104061388732922,0.059704285981658244,0.06400898371701291,0.07505146921205315,0.15534344001497286,0.14504959760434213,0.1079917649260715,0.07935616694740782,0.05820699981283923,0.06999812839228897,0.02582818641212802,106056,0.0028328611898017,0,0.02322946175637394,0.056090651558073655,0.06288951841359773,0.15240793201133143,0.14334277620396602,0.3240793201133145,0.08951841359773371,0.14560906515580738,0.019069633054030626,0.034383126264085524,0.23692574400462293,0.2250794568043918,0.11123952614851199,0.20080901473562554,0.1724934989887316,0.9465472406818839,0.37330251372435713,0.9168831168831169,0.08311688311688312,0.042,0.073,0.7977337110481586,0.20226628895184137
51099040500,3131,0.8099648674544874,0.14947301181731076,0.004471414883423826,0.08847013733631427,0.07601405301820505,0.055253912488023,0.1047588629830725,0.03321622484829128,0.042159054615138934,0.09996806132226126,0.10763334397955925,0.17310763334397955,0.06643244969658256,0.08623442989460237,0.10028744809964868,0.026189715745768127,87258,0.01303538175046555,0,0.037243947858473,0.05307262569832402,0.09869646182495345,0.2048417132216015,0.19832402234636873,0.148975791433892,0.12569832402234637,0.12011173184357542,0.032467532467532464,0.05333951762523191,0.28339517625231914,0.2592764378478664,0.07374768089053803,0.22217068645640073,0.07560296846011132,0.9141929499072357,0.29777365491651203,0.8703403565640194,0.12965964343598055,0.01,0.284,0.8640595903165735,0.13594040968342644
51101950101,4423,0.7185168437711961,0.24847388650237395,0,0.015374180420529052,0.05539226769161203,0.10513226316979425,0.08636671942120733,0.07664481121410807,0.013791544200768708,0.13429798779109203,0.12276735247569523,0.14311553244404251,0.07483608410581054,0.04295726882206647,0.08116662898485191,0.05358354058331449,62371,0.0502828409805154,0.0069138906348208675,0.06913890634820867,0.10873664362036455,0.19736015084852293,0.147705845380264,0.2055311125078567,0.15461973601508486,0.04274041483343809,0.01697045883092395,0.030706243602865915,0.0395769361992494,0.36983964517229617,0.2705561241896963,0.0992835209825998,0.15080177413851928,0.03923575571477311,0.9297168201978847,0.1900375298532924,0.8586076632487858,0.14139233675121424,0,0,0.8416090509113765,0.1583909490886235
51101950102,6239,0.8520596249398942,0.11620451995512102,0.007533258535021638,0.04696265427151787,0.05754127263984613,0.07773681679756371,0.044878987017150186,0.05754127263984613,0.06908158358711332,0.12293636800769354,0.15867927552492386,0.1386440134636961,0.08382753646417695,0.058663247315274884,0.09296361596409682,0.031094726719025485,72670,0.008035714285714285,0.007142857142857143,0.049553571428571426,0.07946428571428571,0.16875,0.2236607142857143,0.16160714285714287,0.1924107142857143,0.038392857142857145,0.07098214285714285,0.03329479768786127,0.027745664739884393,0.33040462427745665,0.28531791907514453,0.12393063583815028,0.13364161849710982,0.06566473988439306,0.9389595375722544,0.1993063583815029,0.9065155807365439,0.09348441926345609,0,0,0.9459821428571429,0.054017857142857145
51101950200,2656,0.6231174698795181,0.28313253012048195,0.0018825301204819277,0,0.07605421686746988,0.04593373493975904,0.04254518072289157,0.045180722891566265,0.06814759036144578,0.12085843373493976,0.12274096385542169,0.13591867469879518,0.06287650602409639,0.10843373493975904,0.09149096385542169,0.06137048192771084,60727,0.036734693877551024,0.026530612244897958,0.1,0.14591836734693878,0.08061224489795918,0.23979591836734693,0.18571428571428572,0.12346938775510204,0.04693877551020408,0.014285714285714285,0.053701772679874867,0.10948905109489052,0.3467153284671533,0.21376433785192908,0.07142857142857142,0.15328467153284672,0.0516162669447341,0.8368091762252347,0.2049009384775808,0.8536585365853658,0.14634146341463414,0,0,0.8285714285714286,0.17142857142857143
51101950300,3370,0.8997032640949555,0.04896142433234421,0.04421364985163205,0.024035608308605343,0.03382789317507418,0.052522255192878335,0.0572700296735905,0.10593471810089021,0.05934718100890208,0.127893175074184,0.07418397626112759,0.13857566765578636,0.07091988130563798,0.06943620178041543,0.09851632047477744,0.06884272997032641,70063,0,0.03393843725335438,0.0702446724546172,0.10891870560378848,0.05919494869771113,0.2596685082872928,0.18153117600631413,0.1468034727703236,0.08760852407261246,0.05209155485398579,0.026620867325032202,0.028767711464147704,0.32889652211249465,0.2597681408329755,0.09617861743237441,0.1897810218978102,0.06998711893516531,0.9446114212108201,0.2597681408329755,0.8385175380542687,0.1614824619457313,0.040999999999999995,0,0.8208366219415943,0.17916337805840568
51103030100,2647,0.7423498299962221,0.23347185493010955,0.024178315073668303,0.015867019267094825,0.021156025689459765,0.03135625236116358,0.024933887419720437,0.04911220249338874,0.01360030222893842,0.05931242916509256,0.10275783906309029,0.0876463921420476,0.12278050623347185,0.10313562523611636,0.19191537589724217,0.14393653192293163,49583,0.08207831325301204,0.0677710843373494,0.1438253012048193,0.045180722891566265,0.16340361445783133,0.15963855421686746,0.12650602409638553,0.07981927710843373,0.07981927710843373,0.051957831325301206,0.027240773286467488,0.04261862917398945,0.28910369068541303,0.2218804920913884,0.0852372583479789,0.18804920913884007,0.14586994727592267,0.930140597539543,0.3339191564147627,0.5462772521596051,0.4537227478403949,0.084,0,0.8381024096385542,0.16189759036144577
51103030200,4163,0.6010088878212827,0.3867403314917127,0.005765073264472736,0.004564016334374249,0.06101369204900312,0.06221474897910161,0.03819361037713188,0.05332692769637281,0.04588037472976219,0.08791736728320923,0.09680518856593802,0.1167427336055729,0.06461686283929859,0.04732164304588037,0.18616382416526545,0.10233005044439106,52946,0.07206703910614524,0.07430167597765364,0.13016759776536313,0.08715083798882682,0.12402234636871508,0.12346368715083798,0.11675977653631285,0.11843575418994413,0.08212290502793296,0.07150837988826815,0.04191033138401559,0.06237816764132553,0.3161143599740091,0.23359324236517218,0.06465237166991553,0.14457439896036386,0.13677712800519817,0.8957115009746589,0.28135152696556204,0.7530500631047539,0.2469499368952461,0.023,0.075,0.7251396648044692,0.2748603351955307
51103030300,3914,0.7235564639754727,0.27516607051609604,5.10986203372509e-4,0.0015329586101175269,0.030659172202350538,0.04803270311701584,0.044966785896780784,0.026571282575370465,0.015074092999489013,0.09121103730199284,0.05978538579458355,0.0965763924374042,0.06540623403168115,0.13719979560551865,0.1885539090444558,0.12110373019928462,55952,0.03960905349794239,0.023662551440329218,0.11676954732510288,0.08847736625514403,0.2037037037037037,0.13631687242798354,0.13065843621399176,0.11934156378600823,0.0360082304526749,0.10545267489711935,0.036118763391490664,0.0707070707070707,0.31068258340985616,0.17998163452708907,0.06856443220079583,0.1637588001224365,0.1701867156412611,0.8931741659014386,0.3339455157636976,0.6900958466453674,0.30990415335463256,0.023,0.07400000000000001,0.7350823045267489,0.264917695473251
51103990100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51105950100,3059,0.995096436744034,0,0,0,0.03857469761359922,0.05034324942791762,0.06276560967636483,0.049689440993788817,0.054266100032690424,0.08597580908793724,0.13435763321346844,0.12618502778685844,0.15560640732265446,0.05459300424975482,0.10199411572409284,0.07191892775416803,29531,0.13986599664991625,0.10804020100502512,0.21105527638190955,0.08961474036850921,0.11641541038525963,0.1273031825795645,0.10887772194304858,0.06700167504187604,0.031825795644891124,0,0.11242863416776461,0.178743961352657,0.35177865612648224,0.19104084321475626,0.0922266139657444,0.037768994290733424,0.036012296881862096,0.7088274044795784,0.07378129117259552,0.7184115523465704,0.2815884476534296,0,0.078,0.7730318257956449,0.2269681742043551
51105950200,3924,0.9740061162079511,0,0.014271151885830785,0.0022935779816513763,0.03287461773700306,0.047145769622833844,0.09021406727828746,0.04255861365953109,0.058868501529051986,0.08868501529051988,0.15749235474006115,0.12436289500509684,0.09683995922528033,0.07313965341488277,0.10856269113149847,0.06141692150866463,42070,0.09371069182389936,0.06729559748427673,0.1220125786163522,0.12389937106918239,0.2169811320754717,0.14528301886792452,0.11069182389937107,0.07610062893081761,0.022641509433962263,0.021383647798742137,0.07242827151854443,0.10216934919524143,0.37578726382085376,0.20433869839048285,0.13890832750174947,0.0801259622113366,0.026242127361791462,0.8254023792862142,0.10636808957312806,0.7696030977734754,0.23039690222652467,0.055999999999999994,0.13,0.7679245283018868,0.2320754716981132
51105950300,5346,0.7573887018331463,0.17826412270856715,0,0.07931163486719042,0.044332210998877665,0.058361391694725026,0.025813692480359147,0.024317246539468762,0.04227459783015339,0.21960344182566405,0.1533857089412645,0.13561541339319116,0.06640478862701085,0.06528245417134305,0.09016086793864572,0.04994388327721661,31912,0.17699115044247787,0.06763590391908976,0.17825537294563842,0.0986093552465234,0.10809102402022756,0.21049304677623262,0.048672566371681415,0.08154235145385588,0.010113780025284451,0.019595448798988623,0.087148501045782,0.1763885661166628,0.3286079479432954,0.2670230072042761,0.05926098071113177,0.06321171275854055,0.01835928422031141,0.7364629328375552,0.08157099697885196,0.8282722513089005,0.17172774869109947,0.019,0.034,0.5878634639696586,0.41213653603034134
51105950400,2603,0.9742604686899731,0,0.002689204763734153,0,0.04917402996542451,0.03726469458317326,0.09296965040338072,0.058394160583941604,0.03534383403764887,0.10334229734921245,0.08835958509412217,0.16903572800614675,0.05339992316557818,0.06108336534767576,0.13138686131386862,0.09258547829427584,37976,0.08648111332007952,0.10934393638170974,0.21570576540755468,0.0536779324055666,0.18986083499005965,0.18588469184890655,0.04572564612326044,0.10536779324055666,0.007952286282306162,0,0.0872093023255814,0.14693446088794926,0.32082452431289643,0.24577167019027485,0.051268498942917545,0.11680761099365751,0.031183932346723044,0.7658562367864693,0.14799154334038056,0.6684385382059801,0.3315614617940199,0.091,0,0.7554671968190855,0.24453280318091453
